UM,REPORT
others,"At 9:38 a.m. on February 15, 2017, an employee was unloading porcelain slabs from a forklift at a loading dock with a coworker.  The employee was holding the slabs and the coworker turned the forklift.  As the forklift turned, five slabs, weighing 388 lbs each, fell from the pallet and struck the employee on his right leg. The employee suffered a fractured leg.  Emergency personnel were called and the employee was transported to Regional Medical Center of San Jose. The employee was hospitalized and treated for his injuries. "
exposure to harmful substance,"At 9:30 a.m. on February 15, 2017, fourteen employees were working on the wash floor of a bleach plant.  The hood was undergoing maintenance work of reapplying its caulking, when the employees were exposed to  chlorine dioxide emissions and experienced respiratory distress. However, no fatalities or hospitalizations resulted from the incident. "
machinery and equipment,"At 9:30 p.m. on February 15, 2017, an employee was cleaning a product jam and had his hand caught in a pinch point at the rollers.  The employee suffered several lacerations and bone fractures.  The employee was hospitalized and treated for his injuries. "
others,"At 8:00 a.m. on February 15, 2017, an employee was lifting some banded material with a coworker who was operating a forklift.  The employee was standing in front of the forklift, guiding the banded material resting on the forklift. The coworker tilted the forks downward slightly. The material slid from the fork and the band binding the material broke. The employee jumped out of the way and fell to the ground, breaking their hip.  The employee was hospitalized and treated for his injuries. "
machinery and equipment,"At 4:00 p.m. on February 15, 2017, an employee was notching pallet strings on a manually operated Trace Equipment Corporation Model EN10 manual single notching machine.  The employee amputated half of his forearm when it came into contact with the cutting head of the notching machine.  The employee was hospitalized and treated for his injuries. "
others,"At 4:00 p.m. on February 15, 2017, an employee was loosening a bolt and the excavator counterweight fell onto his right lower leg. The employee's leg was amputated as well as sustaining fractures to his arm, hips and vertebra. The employee was hospitalized and treated for his injuries. "
working at height,"At 3:30 p.m. on February 15, 2017, an employee was working inside of an empty jet fuel tank that was under repair. After working from a scaffold system to take radiographic X-ray shots of welds on the side of the tank, he accessed an extension ladder. As he descended, the ladder shifted to the right. However, he remained attached to the scaffold by a rope tie. The employee fell from the ladder and struck the bottom of the tank, sustaining fractures to his neck of femur. The employee was hospitalized, where he received treatment for his injuries. "
entangled work space,"At 2:45 p.m. on February 15, 2017, an employee was leaving a meeting at the Marriot and crossed the street to the parking garage.  The employee slipped on the snow and ice covered roadway and fractured their right hip.  The employee was hospitalized and treated for his injuries. "
working at height,"At 2:00 p.m. at February 15, 2017, an employee was sanding on the second floor of a building when he fell through its wood floors. The employee struck the ground below, injuring his head.  He was taken to a nearby hospital, were we was treated for his injury. "
others,"At approximately 1:15 p.m. on February 15, 2017, an employee opened the carbon dioxide cylinder valve to transfer gas into a small five liter stainless vessel in order to check for leaks. The employee attempted to tighten the brass nut on the vessel end cap when the nut stripped and it exploded, showering the employee with flying metal pieces. The employee was struck in the face and received multiple injuries to include a fracture nose, two fractured eye sockets, and multiple lacerations.  The employee was hospitalized and treated for his injuries. "
